Date,Close/Last,Volume,Open,High,Low
03/10/2026,$260.83,30590770,$257.645,$262.48,$256.95
03/09/2026,$259.88,38218530,$255.69,$261.15,$253.6805
03/06/2026,$257.46,41120040,$258.63,$258.77,$254.37
03/05/2026,$260.29,49658630,$260.79,$261.555,$257.25
03/04/2026,$262.52,39803120,$264.65,$266.15,$261.42
03/03/2026,$263.75,38568920,$263.48,$265.56,$260.13
03/02/2026,$264.72,41827950,$262.41,$266.53,$260.20
02/27/2026,$264.18,72366510,$272.81,$272.81,$262.89
02/26/2026,$272.95,32345110,$274.945,$276.11,$270.795
02/25/2026,$274.23,33714340,$271.78,$274.94,$271.05
02/24/2026,$272.14,47014620,$267.86,$274.89,$267.71
02/23/2026,$266.18,37308160,$263.49,$269.43,$263.381
02/20/2026,$264.58,42070500,$258.97,$264.75,$258.16
02/19/2026,$260.58,30845290,$262.60,$264.48,$260.05
02/18/2026,$264.35,34203340,$263.60,$266.82,$262.45
02/17/2026,$263.88,58469090,$258.05,$266.29,$255.54
02/13/2026,$255.78,56290670,$262.01,$262.23,$255.45
02/12/2026,$261.73,81077230,$275.59,$275.72,$260.18
02/11/2026,$275.50,51931280,$274.695,$280.18,$274.45
